DOID	MeSH
DOID:0111536	C537415
DOID:0111537	C563475
DOID:0111538	D020967
DOID:0111539	C537172
DOID:0111540	D056732
DOID:0111541	C566801
DOID:0111542	C536335
DOID:0111544	C538278
DOID:0111545	C536961
DOID:0111545	D011629
DOID:0111546	C536221
DOID:0111548	C535684
DOID:0111549	C562407
DOID:0111550	C536623
DOID:0111551	C566695
DOID:0111552	D009134
DOID:0111554	C535797
DOID:0111556	D062685
DOID:0111561	C566112
DOID:0111563	D013341
DOID:0111564	C535564
DOID:0111565	C536549
DOID:0111567	C566007
DOID:0111568	D005413
DOID:0111569	C536352
DOID:0111570	C536677
DOID:0111571	C536695
DOID:0111575	C536764
DOID:0111578	C536370
DOID:0111579	C565935
DOID:0111580	C537669
DOID:0111581	C537418
DOID:0111583	C562876
DOID:0111584	C535580
DOID:0111584	C535703
DOID:0111585	C562812
DOID:0111586	C536028
DOID:0111587	C565870
DOID:0111588	C535858
DOID:0111589	C536430
DOID:0111590	C536438
DOID:0111591	C535849
DOID:0111592	C566897
DOID:0111592	C580017
DOID:0111593	C566069
DOID:0111595	C536211
DOID:0111596	C565097
DOID:0111597	C535378
DOID:0111599	C538400
DOID:0111603	C535857
DOID:0111604	C535483
DOID:0111607	C537288
DOID:0111608	C537737
DOID:0111609	C535386
DOID:0111610	C563791
DOID:0111611	C537310
DOID:0111612	C537309
DOID:0111617	C537312
DOID:0111618	C565188
DOID:0111620	C535473
DOID:0111621	C536959
DOID:0111625	C565657
DOID:0111626	C535767
DOID:0111627	C538204
DOID:0111629	C562815
DOID:0111633	C538139
DOID:0111646	C562600
DOID:0111647	C565607
DOID:0111648	C563268
DOID:0111655	C566592
DOID:0111664	D053358
DOID:0111666	C565593
DOID:0111667	C562649
DOID:0111668	C537213
DOID:0111669	D057770
DOID:0111670	C536414
DOID:0111671	C536415
DOID:0111676	C537060
DOID:0111677	C565564
DOID:0111678	C562799
DOID:0111679	C537425
DOID:0111680	C538068
DOID:0111681	C565557
DOID:0111683	C537393
DOID:0111687	C538356
DOID:0111688	C563390
DOID:0111697	C563414
DOID:0111698	C563423
DOID:0111699	C535909
DOID:0111701	C563428
DOID:0111702	D058247
DOID:0111703	C563467
DOID:0111704	C538317
DOID:0111705	C563969
DOID:0111707	C536173
DOID:0111708	C538682
DOID:0111717	C565138
DOID:0111721	C562880
DOID:0111723	D054868
DOID:0111732	C564010
DOID:0111760	D058531
DOID:0111765	C536197
DOID:0111767	C564050
DOID:0111768	C537241
DOID:0111771	C567887
DOID:0111776	C567766
DOID:0111780	C536942
DOID:0111783	C536065
DOID:0111784	C538089
DOID:0111785	C538064
DOID:0111788	D010009
DOID:0111789	C537274
DOID:0111801	C565948
DOID:0111803	C537686
DOID:0111805	C566440
DOID:0111806	C566441
DOID:0111807	C537768
DOID:0111808	C537466
DOID:0111809	C537465
DOID:0111813	C564100
DOID:0111817	C538154
DOID:0111818	C566092
DOID:0111819	C538155
DOID:0111820	C565223
DOID:0111821	C536085
DOID:0111822	C562515
DOID:0111826	C535559
DOID:0111827	C535380
DOID:0111831	C537315
DOID:0111832	C537316
DOID:0111833	C567478
DOID:0111834	C564461
DOID:0111842	C538337
DOID:0111860	C564570
DOID:0111866	D054463
DOID:0111868	D054463
DOID:0111874	C536320
DOID:0111878	C567254
DOID:0111879	C538442
DOID:0111881	C567253
DOID:0111883	C567280
DOID:0111884	C567650
DOID:0111885	C536130
DOID:0111887	C536355
DOID:0111888	C567649
DOID:0111890	C567281
DOID:0111895	C567302
DOID:0111899	C567581
DOID:0111901	C562865
DOID:0111902	C566056
DOID:0111904	C567353
DOID:0111906	C567341
DOID:0111908	C566057
DOID:0111909	C567163
DOID:0111931	C567475
DOID:0111932	C566878
DOID:0111933	C567067
DOID:0111936	C585640
DOID:0111942	C565712
DOID:0111943	C537590
DOID:0111947	D000077428
DOID:0111955	C535530
DOID:0111967	C566492
DOID:0111968	C565232
DOID:0111970	C557827
DOID:0111974	C565535
DOID:0111976	C557826
DOID:0111981	C565476
DOID:0111989	C566928
DOID:0111999	C538057
DOID:0112000	C567068
DOID:0112064	C564275
DOID:0112072	C567006
DOID:0112107	C564038
DOID:0112121	C564491
DOID:0112122	C564505
DOID:0112125	C563023
DOID:0112128	C564539
DOID:0112148	C564544
DOID:0112149	C564554
DOID:0112150	C564714
DOID:0112152	C536729
DOID:0112158	C535992
DOID:0112171	C536750
DOID:0112173	C564741
DOID:0112174	C564393
DOID:0112180	C536479
DOID:0112184	C562771
DOID:0112185	C564766
DOID:0112186	C563206
DOID:0112187	C562769
DOID:0112188	C562770
DOID:0112189	C564608
DOID:0112194	C538152
DOID:0112196	C564794
DOID:0112197	C562968
DOID:0112232	C566908
DOID:0112244	C567425
DOID:0112253	C567115
DOID:0112254	C537257
DOID:0112257	C536081
DOID:0112259	C562567
DOID:0112264	C536742
DOID:0112265	C536285
DOID:0112282	C564252
DOID:0112286	C566660
DOID:0112287	C567128
DOID:0112289	C564003
DOID:0112292	C564796
DOID:0112296	C535794
DOID:0112297	C535793
DOID:0112298	C535798
DOID:0112299	C535795
DOID:0112300	C563825
DOID:0112301	C563803
DOID:0112305	C535791
DOID:0112307	C537236
DOID:0112308	D011629
DOID:0112322	C548069
DOID:0112328	C548070
DOID:10003	D006319
DOID:10016	D018814
DOID:10017	D018761
DOID:1002	D004716
DOID:10021	D004379
DOID:10024	D020325
DOID:10027	D013606
DOID:1003	D000292
DOID:10032	D019568
DOID:10035	D009494
DOID:10039	D009494
DOID:10041	D004416
DOID:10073	C536775
DOID:10074	D006925
DOID:10075	D004169
DOID:10079	D003551
DOID:10080	D013031
DOID:10112	D014353
DOID:10113	D014352
DOID:10122	C562400
DOID:10124	D003316
DOID:10126	D007640
DOID:10128	D014689
DOID:10138	D014985
DOID:10140	D015352
DOID:10155	D007414
DOID:10156	D007078
DOID:10159	D010020
DOID:10175	D010211
DOID:10176	D012173
DOID:10192	D008067
DOID:1022	D010874
DOID:10223	D003882
DOID:1023	D015439
DOID:10235	D015835
DOID:10236	D005084
DOID:1024	D007918
DOID:10241	D013789
DOID:10242	D016873
DOID:1025	D015441
DOID:10250	D008146
DOID:10264	D009107
DOID:10283	D011471
DOID:10289	C549759
DOID:1029	D010245
DOID:10293	D004948
DOID:10300	D011928
DOID:10301	D010309
DOID:10302	D010305
DOID:10303	D012793
DOID:10310	D008587
DOID:10314	D004696
DOID:10316	D011009
DOID:10320	D001195
DOID:10321	C537080
DOID:10322	D001607
DOID:10323	D002095
DOID:10324	D000874
DOID:10325	D012829
DOID:10326	D002205
DOID:10327	D055008
DOID:10328	D012806
DOID:10348	D016569
DOID:10350	D047688
DOID:10354	D005348
DOID:1037	D007945
DOID:10371	D015001
DOID:10375	D000550
DOID:10376	D000550
DOID:10383	D020968
DOID:1039	D015463
DOID:10393	D010005
DOID:10398	D010930
DOID:104	D001424
DOID:1040	D015451
DOID:10426	D007714
DOID:10456	D014069
DOID:10457	D007877
DOID:10458	D007876
DOID:10459	D003139
DOID:10460	D009304
DOID:10480	D003965
DOID:10485	D004933
DOID:10486	D007409
DOID:10487	D006627
DOID:10488	D001006
DOID:10533	D011024
DOID:10534	D013274
DOID:10554	D008590
DOID:1056	D009800
DOID:10575	D002128
DOID:10581	D007966
DOID:10582	D012035
DOID:10584	C538365
DOID:10584	D012174
DOID:10587	D007965
DOID:10588	D000326
DOID:10591	D011225
DOID:10595	D002607
DOID:106	D014396
DOID:1060	D006250
DOID:10600	D013981
DOID:10603	D018149
DOID:10604	D007787
DOID:10605	D012778
DOID:10606	D001765
DOID:10607	D013182
DOID:10608	D002446
DOID:10609	D012279
DOID:10611	D011504
DOID:1062	D005198
DOID:10629	D008850
DOID:1063	D009395
DOID:10632	D014929
DOID:1064	D003554
DOID:10646	D012569
DOID:10652	D000544
DOID:1067	D005902
DOID:10686	C535998
DOID:10690	D008413
DOID:10699	D010237
DOID:1070	D005902
DOID:10718	D005873
DOID:1073	D006977
DOID:1074	D051437
DOID:10754	D010033
DOID:10755	D059270
DOID:10762	D006975
DOID:10763	D006973
DOID:10772	D011697
DOID:10773	D010930
DOID:10782	D008640
DOID:10783	D008708
DOID:10787	D008594
DOID:1079	D012719
DOID:10791	D015522
DOID:10794	D015524
DOID:1080	D005368
DOID:10808	D013276
DOID:1081	D008368
DOID:10817	D012448
DOID:1082	D004184
DOID:10824	D006974
DOID:10825	D000075222
DOID:10834	D014843
DOID:10841	D020242
DOID:10843	D020241
DOID:10844	D004672
DOID:10845	D004674
DOID:10849	D008398
DOID:1085	D000073842
DOID:10864	D015840
DOID:10865	D020434
DOID:10866	D015840
DOID:10871	D008268
DOID:10881	D006232
DOID:10882	D011000
DOID:10883	D006557
DOID:10887	D015440
DOID:10892	D007021
DOID:10907	D008831
DOID:10908	D006849
DOID:1091	D014076
DOID:10914	D000647
DOID:10915	D020915
DOID:10921	D000073605
DOID:10923	D000755
DOID:10930	D001883
DOID:10931	D003859
DOID:10932	D003193
DOID:10933	D009771
DOID:10934	D009105
DOID:10935	D004213
DOID:10936	D012557
DOID:10937	D007174
DOID:10938	D010260
DOID:10939	D000987
DOID:1094	D001289
DOID:10941	D002532
DOID:10944	D014060
DOID:10952	D009393
DOID:10955	D013322
DOID:10964	D018424
DOID:10965	D002547
DOID:10966	D009402
DOID:10968	D002547
DOID:10969	D006429
DOID:10970	D002547
DOID:10974	D009869
DOID:10976	D015433
DOID:1098	D004899
DOID:10983	D009394
DOID:10986	D015299
DOID:1099	D017085
DOID:10991	D020144
DOID:10992	D004684
DOID:110	D007905
DOID:1100	D010049
DOID:11029	D059407
DOID:11030	D015715
DOID:11037	D000647
DOID:11038	D003861
DOID:11042	D005258
DOID:11044	D020139
DOID:11049	D008471
DOID:11054	D001749
DOID:11055	D010326
DOID:11060	D010923
DOID:11077	D002006
DOID:11080	D009198
DOID:11088	D001238
DOID:11100	D011778
DOID:11101	D014205
DOID:11102	D001474
DOID:11103	D000073605
DOID:11104	D000073605
DOID:11105	C562733
DOID:11111	D006869
DOID:11119	D005879
DOID:11121	D011671
DOID:11123	D011695
DOID:11151	D041761
DOID:11153	D008883
DOID:11155	D007007
DOID:11156	D007007
DOID:1116	D001885
DOID:11164	C562399
DOID:11166	D030361
DOID:11168	D003218
DOID:11175	D015841
DOID:11193	D013576
DOID:11198	D004062
DOID:11199	D007011
DOID:11201	D010279
DOID:11202	D049950
DOID:11204	D003233
DOID:11206	D009293
DOID:11212	D006871
DOID:11227	D003232
DOID:1123	D025242
DOID:11234	D054517
DOID:11239	D001063
DOID:11240	D001063
DOID:11244	D000751
DOID:11247	D004211
DOID:11249	D014813
DOID:11252	C562385
DOID:11254	D014438
DOID:11256	D014437
DOID:11256	D014438
DOID:11257	D000072861
DOID:11258	D002372
DOID:11260	D011818
DOID:11262	D009956
DOID:11263	D002689
DOID:11265	D014141
DOID:11266	D006480
DOID:11267	C536156
DOID:11285	D013985
DOID:1129	D010899
DOID:11295	D000071071
DOID:11320	D007733
DOID:11328	D011618
DOID:11329	D000387
DOID:11330	D004886
DOID:11335	D012507
DOID:11336	D012226
DOID:11337	D005674
DOID:11338	D013742
DOID:11339	D011020
DOID:1134	D005889
DOID:11342	D001112
DOID:11343	D015422
DOID:11353	C562406
DOID:11355	D001744
DOID:11360	D010217
DOID:11364	D007906
DOID:11372	D008531
DOID:11379	D058429
DOID:1138	D008579
DOID:11382	D016510
DOID:11383	D003456
DOID:11387	D020802
DOID:11389	D013354
DOID:11394	D012128
DOID:11396	D011654
DOID:114	D006331
DOID:11400	D011704
DOID:11401	D011705
DOID:11405	D003354
DOID:11406	D002833
DOID:1142	D005099
DOID:1143	D005099
DOID:11446	D020426
DOID:11459	D011559
DOID:11476	D010024
DOID:1148	C562429
DOID:1148	D017689
DOID:11481	D010494
DOID:11482	D010490
DOID:11486	D006732
DOID:115	D002305
DOID:11502	D008944
DOID:11503	D003929
DOID:11506	D010035
DOID:11507	D000079562
DOID:11512	D006502
DOID:11514	D014063
DOID:11527	D007829
DOID:11549	D000270
DOID:11550	D015840
DOID:11554	D057129
DOID:11555	D005642
DOID:11561	D058437
DOID:11563	D031300
DOID:11569	D009449
DOID:11572	D008584
DOID:11573	D008088
DOID:11577	D000077684
DOID:11589	D004402
DOID:11599	D013547
DOID:11603	D006177
DOID:11608	D016921
DOID:11612	D011085
DOID:11613	D017588
DOID:11615	D010412
DOID:11623	D003790
DOID:11624	D010412
DOID:11633	D018382
DOID:11634	D009230
DOID:11638	D011305
DOID:11650	D001997
DOID:11656	D010390
DOID:1166	C538103
DOID:11661	D003117
DOID:11664	D009400
DOID:11665	D000073839
DOID:11678	D009855
DOID:1168	D006949
DOID:1168	D006951
DOID:117	D006338
DOID:11701	D017098
DOID:11702	D004406
DOID:1171	D006954
DOID:11712	D003923
DOID:11713	D003925
DOID:11714	D016640
DOID:11716	D011236
DOID:11719	D039141
DOID:1172	D006953
DOID:11720	D049310
DOID:11721	D006014
DOID:11722	D009223
DOID:11723	D020388
DOID:11724	D049288
DOID:11725	D003635
DOID:11726	D020389
DOID:11727	D020391
DOID:11729	D008193
DOID:11729	D020852
DOID:11755	D042883
DOID:11759	D000747
DOID:1176	D001982
DOID:11771	D009759
DOID:11782	D001251
DOID:118	D010490
DOID:11801	D011502
DOID:11819	D014516
DOID:11823	D006530
DOID:11829	D047728
DOID:11830	D009216
DOID:11831	D019575
DOID:11832	D012640
DOID:11836	D003025
DOID:1184	D009404
DOID:11840	D003329
DOID:11847	D003328
DOID:11853	D005099
DOID:1187	D020429
DOID:11870	D020774
DOID:11875	D013282
DOID:1188	D020422
DOID:11885	D014516
DOID:119	D014625
DOID:11907	D004473
DOID:11914	D018589
DOID:1192	D010524
DOID:1192	D018317
DOID:11934	D006258
DOID:11949	D007562
DOID:11963	D004941
DOID:11971	D013580
DOID:11975	C535970
DOID:11976	D001906
DOID:11981	D009767
DOID:11983	D011218
DOID:11984	D002312
DOID:11991	D010023
DOID:11996	D013086
DOID:11997	D013088
DOID:120	D005833
DOID:12010	D018917
DOID:12028	D006929
DOID:12029	D009879
DOID:12030	D015864
DOID:1205	D006967
DOID:12053	D003453
DOID:1206	D015518
DOID:12096	D011906
DOID:12098	D014277
DOID:121	D014623
DOID:1210	D009902
DOID:12117	C562405
DOID:12118	D000097545
DOID:12119	D006486
DOID:12120	D011649
DOID:12128	D010842
DOID:12129	D002032
DOID:12132	D014890
DOID:12134	D006467
DOID:12139	D019263
DOID:12140	D014355
DOID:12143	D001750
DOID:12148	C536591
DOID:12155	D008216
DOID:12156	D001100
DOID:12157	D008582
DOID:12169	D002349
DOID:1217	D005213
DOID:12171	D020425
DOID:12176	D006042
DOID:12177	D017074
DOID:1218	D004451
DOID:1219	D004011
DOID:12192	D012811
DOID:12205	D003715
DOID:12206	D019595
DOID:12211	D004605
DOID:12215	D016104
DOID:12217	D020961
DOID:1222	D002357
DOID:12225	D013585
DOID:12236	D008105
DOID:12237	D001655
DOID:12241	D017086
DOID:12259	D002836
DOID:1227	D009503
DOID:12270	D003103
DOID:12271	D015783
DOID:12273	D015858
DOID:12287	D006479
DOID:1229	D012563
DOID:12297	D014607
DOID:12305	D007184
DOID:12306	D014820
DOID:12308	D007566
DOID:12309	D014582
DOID:12318	D003317
DOID:12328	D011502
DOID:1233	D014190
DOID:12332	D006398
DOID:12336	D007248
DOID:12337	D014646
DOID:12347	D010013
DOID:1235	D005329
DOID:12361	D006111
DOID:12365	D008288
DOID:12375	D001996
DOID:12376	D014897
DOID:12377	D009134
DOID:12382	D017029
DOID:12384	D004403
DOID:12385	D004405
DOID:12386	D001447
DOID:12387	D018500
DOID:12388	D020790
DOID:12397	D004774
DOID:12399	D005715
DOID:1240	D007938
DOID:12400	D007174
DOID:12401	D007174
DOID:12402	D005391
DOID:12403	D014008
DOID:12449	D000741
DOID:1245	D014846
DOID:12450	D010198
DOID:12451	D013436
DOID:12466	D006962
DOID:1247	D001778
DOID:12474	D017189
DOID:12491	D020421
DOID:12506	D020330
DOID:12514	D012167
DOID:1252	D014257
DOID:12522	D011009
DOID:12526	D013641
DOID:12528	D020426
DOID:12531	D014842
DOID:1254	D014253
DOID:12549	D006506
DOID:1255	D014252
DOID:12550	D006501
DOID:12554	D006463
DOID:12556	D007683
DOID:12557	D004370
DOID:12558	D017246
DOID:12568	D060705
DOID:12574	D015866
DOID:12577	D014524
DOID:12580	D003410
DOID:12583	D004062
DOID:1260	D010249
DOID:12638	D046248
DOID:12639	D011707
DOID:12642	D006551
DOID:12657	D000160
DOID:12661	D020254
DOID:12662	D010229
DOID:12663	D001759
DOID:12678	D006934
DOID:12679	D009397
DOID:12680	D020828
DOID:12683	D020338
DOID:12689	D009464
DOID:12697	D000080422
DOID:12698	D006177
DOID:127	D007889
DOID:1270	D013683
DOID:12700	D002640
DOID:12700	D006966
DOID:12704	D001260
DOID:12705	D005621
DOID:12707	D002527
DOID:12711	D010854
DOID:12714	D004613
DOID:12716	D006819
DOID:1272	D013684
DOID:12720	D002537
DOID:12721	D010009
DOID:1273	D018357
DOID:12731	D015868
DOID:12732	D015867
DOID:12733	D006936
DOID:12750	D021866
DOID:12759	D002830
DOID:1278	D020333
DOID:12783	D020326
DOID:12785	D003929
DOID:1279	D015835
DOID:12798	D009083
DOID:12799	D016532
DOID:12800	D009087
DOID:12801	D009084
DOID:12802	D008059
DOID:12803	D016538
DOID:12804	D009085
DOID:1283	D006547
DOID:12835	D011782
DOID:12837	D013958
DOID:12841	D000724
DOID:12842	D020275
DOID:12849	D001321
DOID:1285	D012002
DOID:12858	D006816
DOID:1287	D002318
DOID:12883	D006998
DOID:12889	D019846
DOID:1289	D019636
DOID:12894	D012859
DOID:12895	D007638
DOID:12897	D013364
DOID:12900	D008882
DOID:12901	D012797
DOID:12905	D015494
DOID:12918	D013919
DOID:12926	D007000
DOID:12927	D012610
DOID:12929	D004695
DOID:12930	D002311
DOID:12932	D004719
DOID:12934	D007625
DOID:12935	D002310
DOID:12958	D000092164
DOID:12959	D000092164
DOID:12960	D000168
DOID:12961	D011045
DOID:12971	D013103
DOID:12978	D016780
DOID:12986	D018921
DOID:12987	D000380
DOID:12995	D019955
DOID:13001	D016893
DOID:13002	D013349
DOID:13003	D014715
DOID:13025	D012178
DOID:13026	D060368
DOID:13027	D020236
DOID:13033	D001446
DOID:13034	D012061
DOID:13035	D012061
DOID:13038	D000092164
DOID:13042	D010547
DOID:13068	D012080
DOID:13078	D008271
DOID:13087	D008151
DOID:13088	D007969
DOID:13089	D020765
DOID:13094	D015356
DOID:13095	D014715
DOID:13096	D018860
DOID:13097	D002537
DOID:13098	D015356
DOID:13099	D009072
DOID:13100	D020301
DOID:13117	D010304
DOID:1312	D005923
DOID:13133	D017359
DOID:13137	D014897
DOID:13140	D015829
DOID:13141	D014605
DOID:13166	D001229
DOID:13174	D009759
DOID:13185	D045723
DOID:13186	D004931
DOID:13189	D006073
DOID:13189	D015210
DOID:1319	D001932
DOID:13196	D047268
DOID:13197	D006044
DOID:13198	D006043
DOID:13200	D006045
DOID:13223	D007889
DOID:13240	D014091
DOID:13241	D001528
DOID:13249	D011006
DOID:13250	D004403
DOID:13252	D008641
DOID:13254	D004239
DOID:13258	D014435
DOID:13268	D011164
DOID:13269	D046349
DOID:13270	D046351
DOID:13271	D017092
DOID:13272	D007710
DOID:13276	D011019
DOID:1328	D012295
DOID:13300	D012544
DOID:13316	D010188
DOID:13317	D046768
DOID:13329	D000081028
DOID:13336	D014125
DOID:13351	D010378
DOID:13357	D046789
DOID:13359	D004535
DOID:13364	D021081
DOID:13366	D016750
DOID:13369	C000656824
DOID:13371	D012612
DOID:13372	D019896
DOID:13374	D009221
DOID:13375	D013700
DOID:13378	D009080
DOID:1338	D000742
DOID:13381	D000752
DOID:13382	D000749
DOID:13386	C571911
DOID:1339	D029503
DOID:13399	D003117
DOID:1340	D012010
DOID:13401	D000793
DOID:13404	D014608
DOID:13406	D017565
DOID:13413	D006501
DOID:13417	D004410
DOID:13417	D004411
DOID:13419	D055496
DOID:1342	D029502
DOID:1343	D014526
DOID:13431	D014211
DOID:13444	D005896
DOID:13450	D003047
DOID:13452	D015423
DOID:13481	D013796
DOID:13482	D016715
DOID:13499	D007580
DOID:1350	D010255
DOID:13500	D014064
DOID:13501	D020331
DOID:13515	D014402
DOID:1352	D010254
DOID:13523	D008118
DOID:13533	D010022
DOID:13543	D006961
DOID:13544	D057066
DOID:13548	D010302
DOID:13550	D015812
DOID:13561	D015594
DOID:13564	D001228
DOID:13565	D020953
DOID:13576	D005330
DOID:13579	D007732
DOID:1358	D008444
DOID:13580	D002779
DOID:13585	D004368
DOID:13593	D004461
DOID:13603	D041781
DOID:13608	D001656
DOID:13619	D001651
DOID:13620	D054092
DOID:13622	D002169
DOID:13628	D005236
DOID:13636	D005199
DOID:13641	D017889
DOID:13664	D004673
DOID:13677	D020083
DOID:13709	D061686
DOID:13711	D009050
DOID:13714	D000848
DOID:13722	D020818
DOID:13724	D012614
DOID:13725	D001602
DOID:13732	D010202
DOID:13738	D000081011
DOID:13757	D007766
DOID:13767	D003003
DOID:13768	D009889
DOID:13774	D000224
DOID:13777	D004819
DOID:13778	D002602
DOID:1380	D016889
DOID:13800	D003235
DOID:13801	D000258
DOID:13809	D006950
DOID:1381	D005588
DOID:13810	D006938
DOID:13814	D020437
DOID:13819	D008219
DOID:1382	D008883
DOID:1383	D013543
DOID:13832	D004374
DOID:1386	D000012
DOID:13864	D020432
DOID:13865	D005156
DOID:13868	D020018
DOID:1387	D007009
DOID:1388	D013631
DOID:13884	D012804
DOID:1389	D011115
DOID:13891	D001716
DOID:139	D010212
DOID:1390	D006995
DOID:13902	D010854
DOID:13909	D003117
DOID:1391	D007863
DOID:13910	D003117
DOID:13911	D003117
DOID:13912	D003117
DOID:13918	D013001
DOID:1392	C562401
DOID:13922	D057765
DOID:13924	D005892
DOID:13929	D007767
DOID:13934	D005158
DOID:13938	D000568
DOID:1394	D012553
DOID:13941	D065635
DOID:13945	D046589
DOID:13948	D001748
DOID:13949	D018856
DOID:13976	D004942
DOID:13994	D002973
DOID:1400	D007766
DOID:14004	D017545
DOID:14018	D008104
DOID:14021	D013991
DOID:14039	D016878
DOID:14040	D016884
DOID:14043	D020941
DOID:14049	D060446
DOID:1406	D007500
DOID:14067	D016778
DOID:14068	D001742
DOID:14069	D016779
DOID:1407	D014606
DOID:14075	D005155
DOID:14080	C563177
DOID:14087	D013716
DOID:14089	D017213
DOID:14095	D001907
DOID:14107	D053684
DOID:14115	D012772
DOID:14116	D008069
DOID:14118	D008072
DOID:1412	D001437
DOID:14121	D018438
DOID:14146	D053039
DOID:1415	D015799
DOID:14159	D006849
DOID:1417	D015862
DOID:14174	D018306
DOID:14175	D006623
DOID:14176	D017099
DOID:14179	C537409
DOID:14183	D020269
DOID:14188	D002062
DOID:14203	D003882
DOID:14213	C562440
DOID:14213	D007014
DOID:14218	D054067
DOID:14219	D000141
DOID:14221	D024821
DOID:14223	D009794
DOID:14227	D053713
DOID:14228	D009845
DOID:14250	D004314
DOID:14256	D016706
DOID:1426	D014515
DOID:14261	D005600
DOID:14262	D002180
DOID:14264	D020936
DOID:14265	D011665
DOID:14268	D015209
DOID:14276	D019534
DOID:14283	D010004
DOID:14284	D046788
DOID:14286	D001177
DOID:14289	D004437
DOID:14291	D044542
DOID:14305	D004654
DOID:14308	D000796
DOID:14319	D011001
DOID:14323	D008382
DOID:14330	D010300
DOID:14332	D010301
DOID:14350	D013969
DOID:14365	C536778
DOID:1439	D011776
DOID:1440	D017827
DOID:14400	D019559
DOID:14402	D011115
DOID:1441	D020754
DOID:14415	D007873
DOID:14418	D004320
DOID:14422	D004154
DOID:14423	D020435
DOID:14447	D006059
DOID:14448	D006061
DOID:14449	D006060
DOID:14450	D023961
DOID:14451	D020513
DOID:14452	D020514
DOID:14453	D005203
DOID:14457	D002007
DOID:14464	D009459
DOID:14472	D018804
DOID:14482	D006559
DOID:14483	D020150
DOID:14484	D013174
DOID:14495	D004377
DOID:14497	D015223
DOID:14498	D008065
DOID:14499	D000795
DOID:14500	D005645
DOID:14501	D016111
DOID:14502	D015217
DOID:14503	D009472
DOID:14504	D009542
DOID:14515	D017624
DOID:14525	D012202
DOID:1455	D005929
DOID:14550	D012391
DOID:14555	D009901
DOID:1456	D005928
DOID:1459	D007037
DOID:146	D010211
DOID:1461	D017700
DOID:14654	D011472
DOID:14669	C538179
DOID:14670	C537632
DOID:14671	C562441
DOID:14679	C536534
DOID:1468	D007762
DOID:14681	D056730
DOID:14683	C536036
DOID:14686	C535679
DOID:14687	C536170
DOID:14692	D019082
DOID:14693	D004476
DOID:14694	C535880
DOID:14695	D005693
DOID:14699	C536940
DOID:14701	D056693
DOID:14702	D019280
DOID:14705	D000168
DOID:14711	C537923
DOID:14717	D020914
DOID:14720	C536194
DOID:14723	C535818
DOID:14725	C537323
DOID:14731	C562443
DOID:14735	D054179
DOID:14737	C536456
DOID:1474	D010520
DOID:14743	C536820
DOID:14744	C562446
DOID:14748	D058495
DOID:14749	C537358
DOID:1475	D008202
DOID:14753	C538167
DOID:14755	D056807
DOID:14757	C536196
DOID:14761	C537300
DOID:14764	C580241
DOID:14766	C563261
DOID:14768	D000168
DOID:14773	C535916
DOID:14775	C536198
DOID:14777	D020936
DOID:14778	C562419
DOID:14780	C537015
DOID:14784	D009849
DOID:14789	C535788
DOID:14791	D057130
DOID:14793	D053358
DOID:14796	C535718
DOID:1483	D005882
DOID:1485	D003550
DOID:1496	D004443
DOID:1498	D002771
DOID:150	D001523
DOID:1508	D002177
DOID:1509	D010554
DOID:1517	D002430
DOID:1518	D002429
DOID:1521	D002430
DOID:1525	D010201
DOID:1526	D015434
DOID:1532	D010995
DOID:154	D018198
DOID:1540	D010282
DOID:1554	D000094482
DOID:1556	D001183
DOID:1557	D007105
DOID:1558	D000799
DOID:1561	D019965
DOID:1562	D002862
DOID:1563	D003881
DOID:1564	D009181
DOID:1570	D004483
DOID:1572	D006850
DOID:1573	D006849
DOID:1574	D000437
DOID:1577	D045745
DOID:1580	D045743
DOID:1583	D014387
DOID:1584	D056586
DOID:1586	D012213
DOID:1588	D013921
DOID:1591	D006978
DOID:1595	D003866
DOID:1596	D003863
DOID:1602	D008199
DOID:161	D007642
DOID:1612	D001943
DOID:1614	D018567
DOID:1618	D018226
DOID:162	D009369
DOID:1627	D018300
DOID:1631	D003557
DOID:1638	D016862
DOID:1639	D014394
DOID:1657	D006345
DOID:1659	D015173
DOID:166	D017600
DOID:1664	D010871
DOID:1678	D018856
DOID:1679	D003556
DOID:1681	D006343
DOID:1682	D006330
DOID:1686	D005901
DOID:1687	D015355
DOID:169	D018358
DOID:1697	D007057
DOID:17	D009140
DOID:170	D004701
DOID:1700	D016114
DOID:1701	D043202
DOID:1702	D016112
DOID:171	D017599
DOID:1712	D001024
DOID:172	D049309
DOID:1724	D004381
DOID:1727	D012170
DOID:1731	C538362
DOID:1731	D006660
DOID:1733	D003457
DOID:1737	D004379
DOID:174	D049309
DOID:1742	D011605
DOID:1749	D002294
DOID:1749	D018307
DOID:175	D019043
DOID:1754	D008946
DOID:1756	D005155
DOID:1757	D005150
DOID:1759	D006660
DOID:1761	D008556
DOID:1762	D002613
DOID:1768	D003291
DOID:1770	D008532
DOID:178	D000783
DOID:178	D014652
DOID:178	D020758
DOID:178	D020760
DOID:1781	D013964
DOID:1785	D010911
DOID:1786	D000314
DOID:1787	D010493
DOID:1790	D000086002
DOID:1793	D010190
DOID:1798	D018273
DOID:1799	D007516
DOID:180	D018214
DOID:1800	D018278
DOID:1802	D020422
DOID:1803	D009443
DOID:1811	D012019
DOID:182	D002114
DOID:1824	D013226
DOID:1825	D004832
DOID:1826	D004827
DOID:1827	D004829
