DOID	MeSH
DOID:0060248	C537340
DOID:0060249	D012600
DOID:0060251	C537525
DOID:0060252	C565209
DOID:0060253	C536624
DOID:0060254	C562492
DOID:0060256	C562924
DOID:0060257	C535729
DOID:0060259	C567142
DOID:0060260	D001763
DOID:0060262	D005705
DOID:0060263	D065708
DOID:0060264	C580383
DOID:0060267	C564738
DOID:0060268	C567325
DOID:0060269	C567324
DOID:0060272	C548072
DOID:0060273	C536716
DOID:0060274	C537745
DOID:0060275	C548074
DOID:0060282	D054514
DOID:0060283	C564818
DOID:0060284	D006457
DOID:0060285	C566826
DOID:0060289	C536232
DOID:0060290	C536717
DOID:0060291	C563160
DOID:0060292	C580533
DOID:0060294	C536214
DOID:0060296	C536210
DOID:0060297	C565167
DOID:0060299	C567307
DOID:0060300	C566443
DOID:0060304	C535730
DOID:0060306	C538012
DOID:0060313	C557675
DOID:0060315	D017733
DOID:0060316	D009958
DOID:0060317	D008169
DOID:0060318	D015473
DOID:0060319	D006323
DOID:0060320	D006552
DOID:0060321	D006554
DOID:0060322	D008417
DOID:0060326	D008591
DOID:0060327	D006554
DOID:0060328	D012003
DOID:0060329	D011271
DOID:0060330	C535289
DOID:0060336	C579867
DOID:0060337	C537943
DOID:0060341	C562503
DOID:0060342	C566345
DOID:0060345	D016917
DOID:0060346	C538343
DOID:0060347	C563159
DOID:0060348	C537157
DOID:0060349	C537711
DOID:0060350	C538228
DOID:0060352	C563043
DOID:0060354	C566108
DOID:0060356	C535566
DOID:0060357	C535460
DOID:0060358	D054069
DOID:0060359	C537227
DOID:0060360	C566323
DOID:0060362	C535653
DOID:0060366	C537255
DOID:0060373	C557817
DOID:0060374	C537133
DOID:0060375	C557819
DOID:0060376	C536531
DOID:0060377	C563104
DOID:0060378	C557820
DOID:0060380	C563491
DOID:0060381	C557821
DOID:0060382	C557818
DOID:0060383	C538183
DOID:0060384	C538182
DOID:0060385	C538185
DOID:0060386	C535924
DOID:0060387	C537914
DOID:0060389	C567385
DOID:0060390	C567182
DOID:0060394	C567439
DOID:0060395	C579849
DOID:0060397	C567232
DOID:0060402	D054221
DOID:0060403	C563524
DOID:0060406	C538309
DOID:0060407	C536580
DOID:0060408	C567810
DOID:0060409	C535594
DOID:0060410	C535362
DOID:0060413	C567511
DOID:0060415	C567289
DOID:0060416	C567344
DOID:0060418	C536808
DOID:0060419	C567184
DOID:0060422	C567239
DOID:0060428	C567350
DOID:0060432	C567705
DOID:0060435	C567290
DOID:0060436	C567224
DOID:0060438	C535963
DOID:0060439	C562687
DOID:0060444	C535474
DOID:0060445	C566452
DOID:0060446	C567587
DOID:0060447	C535477
DOID:0060448	C563256
DOID:0060449	C535480
DOID:0060450	C567588
DOID:0060451	D053559
DOID:0060452	C567546
DOID:0060453	C535476
DOID:0060454	C567547
DOID:0060455	C535942
DOID:0060456	C535475
DOID:0060457	C562745
DOID:0060459	C567626
DOID:0060460	C567717
DOID:0060461	C567585
DOID:0060462	C535943
DOID:0060464	C537734
DOID:0060465	C562524
DOID:0060466	C562884
DOID:0060467	C535284
DOID:0060468	C535326
DOID:0060469	D054221
DOID:0060471	C536525
DOID:0060472	C536321
DOID:0060473	C537705
DOID:0060476	C536399
DOID:0060478	D000071243
DOID:0060479	D000081003
DOID:0060481	C537279
DOID:0060482	C567416
DOID:0060484	C557674
DOID:0060485	C536990
DOID:0060486	C566822
DOID:0060488	C537403
DOID:0060490	C536629
DOID:0060491	C563702
DOID:0060536	C537475
DOID:0060537	C565375
DOID:0060538	D055665
DOID:0060540	C537709
DOID:0060549	C537908
DOID:0060550	C535557
DOID:0060551	C565820
DOID:0060556	C537177
DOID:0060559	C537194
DOID:0060560	C564369
DOID:0060562	D063748
DOID:0060563	C566815
DOID:0060565	C535313
DOID:0060566	C535327
DOID:0060567	C535509
DOID:0060569	C535572
DOID:0060570	D014381
DOID:0060573	D056725
DOID:0060574	D056728
DOID:0060580	C548081
DOID:0060581	C537847
DOID:0060582	C548082
DOID:0060583	C548083
DOID:0060584	C548084
DOID:0060589	C536719
DOID:0060590	C567043
DOID:0060591	C536697
DOID:0060597	D054438
DOID:0060599	C538336
DOID:0060602	C565768
DOID:0060604	D000072676
DOID:0060608	C537577
DOID:0060609	C565898
DOID:0060610	C536138
DOID:0060611	C535554
DOID:0060614	C536937
DOID:0060640	C535737
DOID:0060643	D015209
DOID:0060644	C536123
DOID:0060645	C535456
DOID:0060650	C536171
DOID:0060655	D017490
DOID:0060668	D000757
DOID:0060673	C537884
DOID:0060680	C563184
DOID:0060681	C579932
DOID:0060688	D002538
DOID:0060689	C565924
DOID:0060693	C563156
DOID:0060694	C563363
DOID:0060695	D000071017
DOID:0060696	D000071017
DOID:0060703	C537369
DOID:0060728	C000626124
DOID:0060731	C536209
DOID:0060732	C538024
DOID:0060740	C565390
DOID:0060744	C536648
DOID:0060745	C535602
DOID:0060746	C563034
DOID:0060760	C564277
DOID:0060762	C536920
DOID:0060768	D058496
DOID:0060769	C536781
DOID:0060775	C537470
DOID:0060782	C536189
DOID:0060783	C536189
DOID:0060784	C536189
DOID:0060799	C537723
DOID:0060800	C535773
DOID:0060801	C537451
DOID:0060808	C537449
DOID:0060812	C537333
DOID:0060818	C535556
DOID:0060821	C537724
DOID:0060825	C537450
DOID:0060832	C537301
DOID:0060833	C537302
DOID:0060834	C537303
DOID:0060843	C536965
DOID:0060844	C537849
DOID:0060847	C537119
DOID:0060849	C536063
DOID:0060850	C536376
DOID:0060851	D010392
DOID:0060852	C537185
DOID:0060853	C538355
DOID:0060854	D011546
DOID:0060855	D011546
DOID:0060857	D025962
DOID:0060858	C564710
DOID:0060862	C565454
DOID:0060867	C565342
DOID:0060869	C565309
DOID:0060870	D004393
DOID:0060872	C562704
DOID:0060877	D053560
DOID:0060878	C537907
DOID:0060881	C536148
DOID:0060886	C536053
DOID:0060889	D011535
DOID:0060900	C567844
DOID:0060901	D008258
DOID:0060902	C537848
DOID:0060903	D013927
DOID:0060930	D000082602
DOID:0070007	C537533
DOID:0070013	C537534
DOID:0070095	C537729
DOID:0070096	C537730
DOID:0070121	C537756
DOID:0070139	C567716
DOID:0070143	C535990
DOID:0070144	C562628
DOID:0070145	D000699
DOID:0070145	D009477
DOID:0070146	D009477
DOID:0070148	C564296
DOID:0070161	D002607
DOID:0070161	D009477
DOID:0070162	D009477
DOID:0070167	D000072660
DOID:0070173	C567832
DOID:0070183	C562903
DOID:0070187	C564030
DOID:0070198	C537480
DOID:0070200	C567646
DOID:0070201	C567645
DOID:0070202	D052496
DOID:0070204	D052496
DOID:0070207	D052496
DOID:0070212	D008209
DOID:0070213	C562467
DOID:0070214	C538376
DOID:0070222	C535934
DOID:0070223	C535935
DOID:0070226	C535933
DOID:0070227	C535932
DOID:0070232	C535934
DOID:0070253	C535752
DOID:0070254	C565264
DOID:0070255	C535755
DOID:0070256	C535753
DOID:0070257	C535754
DOID:0070258	C567040
DOID:0070259	C535756
DOID:0070260	C566987
DOID:0070299	C535505
DOID:0070300	C535504
